	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu7679	0	0	0	1	1	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
Zotu10288	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	7	0
Zotu14651	0	0	0	0	0	1	1	0	0	0	0	0	1	5	4	0	0	0	0	0	0	0	0	0
Zotu10811	0	0	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1
Zotu18266	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu13953	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0
Zotu17548	0	0	0	1	0	0	0	2	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0
Zotu14565	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2
Zotu16796	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1
Zotu17019	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Zotu11889	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
Zotu18267	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0
Zotu15113	0	0	0	2	0	3	0	0	2	0	0	0	0	1	5	0	0	0	0	0	0	0	0	1
Zotu4314	0	0	0	0	0	2	1	1	4	20	0	2	2	0	8	0	0	1	0	0	0	0	0	0
Zotu3258	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1
Zotu9801	0	0	0	0	0	0	8	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Zotu13428	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11039	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	3
Zotu17892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Zotu12741	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11759	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	0	1	2	0	1	0	0	0	1
Zotu10495	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
Zotu11362	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
Zotu15981	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
Zotu12529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu12628	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	1
Zotu14200	0	0	0	0	0	0	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu2055	0	0	0	1	0	2	0	0	10	142	0	0	6	7	2	4	0	0	0	1	0	1	0	0
Zotu15648	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
Zotu16030	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16234	0	0	0	1	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu18281	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5292	0	0	0	0	0	0	0	1	0	0	0	0	0	11	3	0	0	0	0	0	0	2	0	0
Zotu12715	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	5	0	1	0	0	0	1	0	0
Zotu16710	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16870	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu10429	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu3410	0	0	0	1	0	1	1	0	0	1	0	0	2	0	0	4	0	0	1	0	0	0	0	17
Zotu9749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Zotu11296	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	1	1
Zotu15181	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu17732	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0
Zotu11004	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Zotu12682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
Zotu11033	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Zotu11417	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Zotu11970	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	15	0	0	0	0	0	0	0
Zotu10873	0	0	0	0	0	1	0	1	2	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0
Zotu10925	0	0	0	0	0	1	0	0	0	0	0	0	2	6	2	0	1	0	0	1	0	0	0	1
Zotu8433	0	0	0	0	3	0	0	0	6	0	0	0	3	0	0	0	1	0	0	0	7	0	0	0
Zotu11883	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Zotu13330	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0
Zotu12015	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
Zotu3528	0	0	0	0	0	1	14	2	0	0	0	0	1	4	12	0	1	1	2	5	0	0	0	0
Zotu18551	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
Zotu14112	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu6839	0	0	0	1	0	4	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	13	0	0
Zotu17414	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
Zotu9271	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	5	1	4	0	1
Zotu4783	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0
Zotu12881	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu7199	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	6	0	2	1
Zotu16596	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Zotu7820	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Zotu17172	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2
Zotu10391	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
Zotu11331	0	0	0	0	0	3	0	0	0	0	0	0	4	4	3	0	1	0	0	0	0	0	0	3
Zotu14157	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
Zotu17202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	1	0	0
Zotu14991	0	0	0	1	1	0	0	1	1	0	2	0	0	0	2	0	1	0	0	0	0	0	0	0
Zotu16627	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Zotu3475	0	0	0	1	0	1	0	0	1	4	0	0	5	0	0	1	3	1	0	0	1	0	5	1
Zotu16899	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu11558	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	3	2	2	1	0	0	0
Zotu17778	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0
Zotu7045	0	0	0	2	0	0	1	0	1	0	0	1	0	3	2	0	0	0	0	1	0	5	0	0
Zotu18350	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu18566	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16728	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu14353	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0
Zotu8967	0	0	0	0	0	1	1	0	5	1	2	1	1	3	2	0	1	0	0	0	0	0	0	1
Zotu12534	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0
Zotu9250	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	0
Zotu13230	0	0	0	0	0	1	0	0	0	2	0	2	1	1	0	0	0	0	0	0	0	0	0	0
Zotu17032	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13844	0	0	0	1	0	0	2	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1	0	1
Zotu12865	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu16493	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Zotu15738	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu16415	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Zotu16739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Zotu11438	0	0	0	0	2	0	2	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0
Zotu7095	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	2	2	0	4	0	0	0	2
Zotu12975	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu13752	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu8041	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	2	0
Zotu11224	0	0	0	0	1	2	2	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0
Zotu13123	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu14877	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16387	0	0	0	1	1	0	1	0	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2
Zotu17329	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Zotu15696	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
Zotu16699	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0
Zotu8104	0	0	0	0	0	0	3	0	1	2	0	0	0	13	1	1	1	0	0	0	0	2	0	0
Zotu16891	0	0	0	1	1	2	0	1	0	1	0	2	0	1	0	2	0	0	1	2	0	0	0	0
Zotu16014	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Zotu17924	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0
Zotu18336	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu6390	0	0	0	1	0	1	0	0	0	0	0	1	2	0	0	0	1	1	1	0	4	1	0	0
Zotu5223	0	0	0	1	0	1	1	0	0	0	1	0	2	2	3	2	0	0	0	1	1	0	1	0
Zotu18166	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Zotu12385	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	1	0	1	0	0	0	0	0	0
Zotu11566	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0
Zotu15672	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu7451	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	3	1	3	0	2	0
Zotu8129	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	2	0	0	1
Zotu2509	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Zotu13851	0	0	0	0	2	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu15746	0	0	0	1	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1
Zotu9386	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Zotu3973	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	3	2	0	1	8
Zotu14506	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0
Zotu4055	0	0	0	0	0	3	0	1	2	20	1	3	1	3	9	0	1	0	0	0	1	3	0	0
Zotu9775	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
Zotu11089	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0
Zotu14524	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	2
Zotu18222	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu5544	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	14	1
Zotu5566	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	2	0	0	6	0	0	1	2
Zotu9738	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0
Zotu18406	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	1
Zotu13510	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu15173	0	0	0	0	0	1	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Zotu7288	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Zotu15724	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0
Zotu15734	0	0	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
Zotu12447	0	0	0	0	1	0	0	1	0	0	2	1	1	0	1	0	1	0	0	2	0	0	0	0
Zotu3114	0	0	0	0	1	0	0	0	3	7	1	8	0	4	0	1	0	0	0	0	0	0	0	0
Zotu3658	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	2
Zotu9285	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	1	0	8
Zotu6610	0	0	0	0	2	6	0	2	0	7	0	4	0	2	0	1	0	0	0	1	0	0	0	0
Zotu6225	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3	1	0	1	1	0	0	0	0
Zotu17217	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0
Zotu15146	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0
Zotu6262	0	0	0	0	1	0	0	0	2	0	1	0	1	0	0	0	1	0	2	0	1	0	0	8
Zotu12970	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu14275	0	0	0	0	3	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	6	0	0
Zotu2456	0	0	0	0	1	0	0	0	0	0	0	0	17	0	0	0	2	0	2	0	0	0	0	1
Zotu10930	0	0	0	0	1	0	1	0	3	1	3	2	0	0	0	1	0	0	0	0	0	1	1	0
Zotu5245	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	4
Zotu14505	0	0	0	0	3	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0
Zotu17748	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu3116	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10040	0	0	0	0	1	1	2	0	0	0	0	0	1	3	3	1	0	0	0	0	0	0	0	0
Zotu14947	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu12392	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Zotu16262	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu11185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Zotu12887	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	0
Zotu8351	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Zotu1619	0	0	0	0	3	0	3	1	2	34	19	10	2	2	1	12	1	2	1	6	0	0	0	2
Zotu15653	0	0	0	0	5	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1
Zotu14274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Zotu12745	0	0	0	0	1	0	1	0	1	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0
Zotu14498	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	4	0
Zotu10394	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu15643	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	3	0	0	0
Zotu12886	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
Zotu6561	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	1	0	0	0	4	0	3	0
Zotu15187	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0
Zotu18572	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	1	0	0	0
Zotu14950	0	0	0	0	3	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Zotu9404	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu6112	0	0	0	0	3	0	1	0	4	0	0	0	22	0	0	0	0	0	2	1	0	0	0	0
Zotu6296	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	0
Zotu8951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	0	1	0
Zotu17262	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0
Zotu13126	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu16476	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu18303	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0
Zotu7801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	3
Zotu12732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2
Zotu8757	0	0	0	0	2	2	0	1	1	0	0	0	0	2	1	0	1	0	1	0	1	0	0	0
Zotu6665	0	0	0	0	2	1	0	0	1	1	0	0	4	0	0	0	0	0	0	1	0	1	0	7
Zotu8801	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu14308	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Zotu2382	0	0	0	0	3	0	2	0	0	1	0	0	0	19	30	2	0	1	1	0	0	1	0	19
Zotu15352	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu15354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Zotu15241	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu17689	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Zotu10127	0	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	7	0
Zotu3986	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	12
Zotu14465	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Zotu13364	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu18573	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu16425	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
Zotu15593	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Zotu13009	0	0	0	0	1	0	7	0	0	2	0	0	0	0	0	3	1	1	0	0	0	0	0	2
Zotu7195	0	0	0	0	1	0	0	0	0	0	0	20	0	0	0	1	0	0	0	0	0	0	0	0
Zotu13273	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Zotu17688	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Zotu6152	0	0	0	0	1	2	0	5	0	0	1	0	0	0	0	0	2	0	0	2	2	1	0	3
Zotu14184	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu10255	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	6
Zotu7534	0	0	0	0	1	0	0	0	0	0	0	1	0	0	4	4	0	0	0	0	0	0	0	1
Zotu7008	0	0	0	0	1	0	0	0	1	1	0	9	1	0	0	2	0	1	0	0	0	0	0	0
Zotu16255	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu13687	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	1	0	2	1	0	0	0
Zotu12234	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	0	1	0
Zotu13003	0	0	0	0	1	0	0	0	0	0	0	1	0	6	1	0	3	0	0	0	0	0	0	0
Zotu16437	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4649	0	0	0	0	2	0	16	1	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	3
Zotu12178	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	0	2
Zotu14295	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0
Zotu12165	0	0	0	0	1	0	0	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0
Zotu6117	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	1	1	3	0	5	0	0	1
Zotu6746	0	0	0	0	1	0	24	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10923	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	1	0	0	0
Zotu18540	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0
Zotu2935	0	0	0	0	2	0	1	1	0	6	8	4	4	3	0	4	1	0	4	2	0	0	0	0
Zotu4279	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	14	0
Zotu17887	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu13225	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0
Zotu11369	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Zotu10956	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	3	0	0	0	1	0	0	0	0
Zotu14547	0	0	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
Zotu18225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Zotu8905	0	0	0	0	2	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3
Zotu14280	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0
Zotu5511	0	0	0	0	3	0	2	0	0	0	2	11	2	0	0	6	1	0	0	0	0	0	1	0
Zotu14566	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1
Zotu14978	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0
Zotu11255	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	2	0	0	0	0	2	0	0
Zotu5675	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	2	0	0	2	3	2	0	10
Zotu12098	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1
Zotu15090	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0
Zotu17252	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11129	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	2	0	2	0	0	0	0	0	0
Zotu18356	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0
Zotu9741	0	0	0	0	0	0	0	6	1	0	0	1	0	0	0	1	0	1	0	1	0	1	0	1
Zotu14983	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1
Zotu14384	0	0	0	0	1	0	1	0	0	0	0	0	1	6	1	1	0	1	0	0	0	0	0	0
Zotu7840	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	2	15	0	0
Zotu16811	0	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
Zotu16256	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0
Zotu12697	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Zotu14166	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	2	0	0	0	1	0	0	0	0
Zotu4014	0	0	0	0	1	0	0	0	0	3	0	0	11	2	0	0	3	0	1	0	0	1	0	0
