	X09_11_N_N_0	X09_13_N_N_0	X09_24_N_N_0	X09_8_N_N_0	X10_11_N_N_0	X10_13_N_N_0	X10_24_N_N_0	X10_8_N_N_0	X11_11_N_N_0	X11_13_N_N_0	X11_24_N_N_0	X11_8_N_N_0	X12_11_N_N_0	X12_13_N_N_0	X12_24_N_N_0	X12_8_N_N_0	X13_11_N_N_0	X13_13_N_N_0	X13_24_N_N_0	X13_8_N_N_0	X14_11_N_N_0	X14_13_N_N_0	X14_24_N_N_0	X14_8_N_N_0
Zotu7271	2	1	0	4	1	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	2	1	1
Zotu10910	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0
Zotu5046	1	0	0	3	2	1	1	2	0	4	0	3	1	4	6	0	0	1	1	0	0	0	0	0
Zotu6367	1	1	1	2	3	7	1	0	0	1	3	0	3	2	0	0	1	0	4	0	1	7	0	0
Zotu12045	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0
Zotu8756	0	1	0	1	3	2	0	0	1	0	0	1	1	0	0	0	1	0	0	3	2	4	0	1
Zotu10946	1	1	0	3	0	2	0	0	0	0	0	0	1	1	0	0	1	2	3	0	0	0	1	0
Zotu15243	1	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
Zotu12473	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1
Zotu14550	0	0	1	0	1	0	0	1	3	0	0	2	0	0	0	0	0	0	2	1	0	0	0	0
Zotu15249	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Zotu8975	0	0	0	2	0	0	0	1	1	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1
Zotu2984	1	2	0	4	2	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	4	0	0	1
Zotu9912	1	0	0	0	0	0	1	0	2	0	0	1	1	0	0	1	0	1	0	1	0	0	0	0
Zotu5983	0	0	1	0	0	1	1	0	7	2	2	2	0	0	0	5	0	1	0	0	0	0	0	6
Zotu16464	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Zotu12627	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	3	2
Zotu1835	1	1	0	3	3	1	1	1	3	0	0	2	1	0	5	0	1	0	0	2	3	0	19	5
Zotu11132	2	1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	1	4	3	1	0	1	0	0
Zotu17059	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu11857	2	2	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Zotu16860	1	4	4	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Zotu10271	0	0	0	1	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0
Zotu17047	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Zotu4153	0	2	0	2	0	0	0	1	0	2	1	1	0	1	1	1	3	2	1	0	1	0	0	0
Zotu13672	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10611	2	2	2	0	0	2	2	0	0	2	1	1	2	2	0	0	0	0	1	0	1	0	0	0
Zotu7432	1	1	0	0	2	0	2	0	0	2	0	0	0	5	6	0	0	0	0	2	0	0	0	0
Zotu4879	1	0	2	1	0	0	1	0	2	1	2	2	0	0	0	0	0	1	3	0	0	0	0	0
Zotu5571	1	1	0	1	2	2	1	1	0	0	1	0	1	1	0	0	0	0	2	0	1	0	1	0
Zotu11091	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	1	2	0	0	1	4	0	1	1
Zotu10006	1	1	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0
Zotu1244	0	3	2	0	3	1	42	0	2	23	1	1	1	16	44	1	0	1	1	2	0	5	0	1
Zotu5179	1	1	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	2	1	0	3	2	2
Zotu8586	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	0	4	1
Zotu1813	0	1	0	1	3	0	0	1	3	2	3	4	7	1	0	4	1	2	3	1	1	1	1	5
Zotu6899	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0
Zotu2127	1	0	2	2	0	3	9	2	2	3	13	2	1	10	1	0	3	3	8	1	0	0	0	1
Zotu4343	0	2	1	1	0	1	1	3	0	1	0	1	0	0	0	0	2	2	0	0	1	1	0	1
Zotu14255	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Zotu9936	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	1
Zotu6213	1	1	0	0	0	0	1	0	0	3	2	4	2	1	1	2	0	0	0	0	0	2	0	0
Zotu4785	0	1	2	0	0	0	0	0	1	0	4	2	1	0	0	1	3	0	1	0	0	0	0	0
Zotu1973	1	0	0	0	36	0	0	1	12	0	0	0	0	0	0	0	0	0	10	0	16	41	0	0
Zotu10809	1	0	1	1	3	0	0	0	1	0	0	0	1	0	0	0	0	4	1	0	0	1	0	0
Zotu6827	1	1	0	0	2	0	1	1	0	0	0	0	0	2	0	0	2	0	0	2	0	1	0	1
Zotu6804	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Zotu17981	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
