Gene,X09_11_N_N_0,X09_13_N_N_0,X09_19_N_N_1,X09_23_N_N_1,X09_24_N_N_0,X09_3_N_N_1,X09_6_N_N_1,X09_8_N_N_0,X10_11_N_N_0,X10_13_N_N_0,X10_19_N_N_1,X10_23_N_N_1,X10_24_N_N_0,X10_3_N_N_1,X10_6_N_N_1,X10_8_N_N_0,X11_11_N_N_0,X11_13_N_N_0,X11_19_N_N_1,X11_23_N_N_1,X11_24_N_N_0,X11_3_N_N_1,X11_6_N_N_1,X11_8_N_N_0,X12_11_N_N_0,X12_13_N_N_0,X12_19_N_N_1,X12_23_N_N_1,X12_24_N_N_0,X12_3_N_N_1,X12_6_N_N_1,X12_8_N_N_0,X13_11_N_N_0,X13_13_N_N_0,X13_19_N_N_1,X13_23_N_N_1,X13_24_N_N_0,X13_3_N_N_1,X13_6_N_N_1,X13_8_N_N_0,X14_11_N_N_0,X14_13_N_N_0,X14_19_N_N_1,X14_23_N_N_1,X14_24_N_N_0,X14_3_N_N_1,X14_6_N_N_1,X14_8_N_N_0
Cueo,7711.653,7357.775,7783.118,7565.052,7766.116,7884.144,7676.916,6778.679,6026.438,6613.226,6411.422,7372.128,6806.493,8327.402,6586.156,6399.828,6886.516,6903.863,7103.72,7432.724,6466.643,7376.82,6262.859,6833.656,6803.046,6156.559,7007.859,7067.119,6329.757,6519.172,6890.207,6326.759,6145.458,7250.012,7700.666,7601.129,7003.371,7476.54,7208.07,6982.61,5936.082,6555.011,6760.723,5702.832,5762.149,6964.184,6467.973,6255.275
CusF,27508.316,27987.829,28189.072,26035.269,25268.296,27027.549,27052.477,28794.015,23669.704,26087.984,23428.165,30698.404,23283.094,29085.713,28519.153,24455.814,23313.75,22646.247,24675.891,22971.938,21206.761,24800.867,22465.696,21977.91,23964.134,20208.281,24330.342,19569.146,18632.369,23400.562,21168.729,21614.963,27614.009,29097.141,29154.19,27314.491,22049.355,27891.951,29695.697,24768.212,23605.461,22508.331,21258.82,22104.573,22349.742,25507.18,26289.771,22133.91
CutA,14177.63,14366.178,15207.192,14628.3907,14933.209,16132.2852,17825.8386,13900.536,13658.065,14660.9209,14231.8712,23670.9749,14530.718,15976.1358,16791.901,15375.7856,15855.7158,15352.2344,15564.3979,14061.471,16220.1654,15378.7679,16433.409,14597.999,15516.3085,14342.7008,16559.482,20325.3365,14268.3294,15303.147,16031.991,15508.6096,14888.9788,14590.079,15653.4123,15879.6222,14606.5378,16525.2171,19123.156,16012.746,14434.7316,15169.8937,18340.1395,15527.711,14299.416,17233.2164,15527.43,16846.5347
Cutinase,60194.2004,63690.7036,61504.4044,63125.5776,60616.3467,59235.8769,64900.3245,54006.08,55862.398,61178.6206,61552.0682,68826.3868,60598.3017,61590.184,64240.8755,57700.291,56645.6004,58211.8552,60817.5037,62267.8217,58893.2577,61080.0571,59732.0186,59483.8801,56460.8175,54332.1412,59652.921,59254.9153,55543.1535,58067.4331,56570.6499,55895.1549,55521.8245,63451.4513,64317.9044,61737.3595,58968.9079,62619.0875,64719.8288,63002.4721,61435.8292,56630.2412,57984.4936,57342.61,53884.663,58399.4408,58421.8789,54115.2244
Cyanide_hydratase_Fungi,13928.829,14428.666,14696.654,15227.105,14708.335,14446.885,13741.773,13429.414,16194.591,16278.792,15567.071,14852.879,13603.616,14248.147,16100.431,13137.629,14802.144,13270.025,13932.761,14091.824,14503.375,13367.135,14992.948,13361.644,14698.1,13236.848,16233.362,15009.743,13483.757,13490.882,13428.583,13280.273,12516.894,12845.301,14426.626,13916.08,12329.569,13530.21,13249.991,12780.055,13750.375,12819.9,12862.189,13691.897,13176.298,13909.284,14204.642,14345.49
CydA,1219.717,1143.089,962.9357,1021.403,1120.987,1044.555,993.4936,1137.382,1333.081,1647.53,1020.802,1176.735,1062.709,1237.315,1151.683,831.6052,1127.246,1140.693,1203.504,1284.6,1259.521,1327.078,890.4504,1263.314,1118.297,1299.207,1144.01,1304.26,1368.406,1277.611,1125.208,1187.025,1084.158,1406.399,951.4466,962.1587,1301.696,1077.35,866.1914,1255.718,1325.054,1470.45,1306.382,1222.235,1411.419,1473.283,1144.056,1630.741
CydB,60039.3057,61719.6407,63689.483,64867.368,61439.666,59681.941,66658.234,53671.991,50285.78,62536.08,60062.406,71982.659,63341.7969,61552.173,66043.5471,42826.137,56371.922,58947.7072,62936.916,62506.6299,58659.343,58712.48,60292.281,59475.687,57630.4466,51166.016,59436.3629,55096.2937,52440.5956,54195.2655,55433.1096,53610.538,56167.9127,65690.356,64911.063,60470.446,59965.3312,65919.821,63882.2136,63550.4041,57068.9589,53894.8722,50165.3039,54774.4902,57805.768,57322.37,55164.7822,54816.3094
CysI,21033.212,20693.384,19835.909,20993.352,19317.667,21482.321,20574.757,19952.196,19626.822,18337.476,21817.409,19028.296,16781.223,20925.934,17659.837,15779.062,17728.052,15817.682,16266.738,16563.582,16311.772,17049.432,17750.501,17121.629,18006.321,16123.9593,18588.449,15953.37,15220.3422,15440.6957,16429.0898,16388.8884,15524.345,20291.096,20642.447,20044.63,16400.704,20176.583,22484.998,16618.148,17772.1389,18116.9671,15636.763,17572.143,17446.368,17622.633,17957.908,16696.1189
CysJ,22243.661,23045.7215,22437.3707,24675.0031,24309.2459,23817.5238,22245.1199,26118.954,21150.556,25727.446,21756.355,23881.866,25491.502,22240.548,25261.792,26053.6137,23572.572,25673.8133,26595.2446,25915.2503,26510.9051,26418.2194,22754.666,23813.007,24805.1995,25027.7704,27188.1723,25395.9282,27891.2879,26486.7533,26505.3021,26628.0183,28039.1471,25676.7372,26006.6441,24791.4244,26161.1561,26885.5042,25058.7502,26550.2228,24374.7996,26188.6575,25915.3959,25777.628,25915.414,26751.1211,23189.7556,26795.0424
Cysteine_synthase_protist,52276.879,51914.235,49791.631,52198.224,48324.026,54219.424,54001.453,47544.337,40741.309,54331.816,55642.8584,51967.83,52207.008,56687.695,54590.24,40668.5823,55752.0815,47034.637,55323.148,51696.864,48709.856,47191.299,52706.738,46614.007,50012.108,45314.313,49218.865,45895.047,45226.511,54394.849,48051.068,51301.907,52969.706,57237.146,55711.414,52181.408,52444.865,54544.238,54022.97,57390.118,52944.226,48959.796,47165.998,49856.221,51172.861,54343.948,49424.202,48655.645
